"business_id","yelp_avg_rating","review_count"
"Mi5uhdFB9OJteXPd0_IKfw",3.5,119
"YPavuOh2XsnRbLfl0DH2lQ",4,1276
"93otbGHE0s0m-lU1osvg9w",3,102
"L_thK7r3K_h5M4tV7amEKQ",3.5,118
"LIvXzdMJrIb6IY5Y3tqicA",3.5,291
"J3H6VSIgUTlACkb_HPFA8w",3.5,137
"Ja4stXdNYr39u5CZHMNtjw",3.5,480
"V94gk_Vx0Ot623UGHG6PrA",3,105
"2px99IppAcnxR238eq_8_w",4,273
"jDqaz1jKdeWk_fTVCzc1Pg",4.5,145
"mvsnt4q3A5TzcbPFolpsZQ",4.5,117
"gMUAn6xcuE-TbY1seFw_Ww",4.5,132
"S6HTXcS97j173_btjN8w7Q",3.5,177
"ndXuzuD4BpNIrm1I0nTsww",3.5,301
"u7CxxEzx8hvjoJ8onN4zTg",3.5,364
"tGBeFfwXCUZOsb0YWiMWIA",3.5,101
"LZxSxY98S7l4a7tJiTGufg",3.5,114
"Rud4J5Hsjn_jjU9IaQ0Dpw",4,164
"kJl3l4fSa2spv_Mkhgogmg",3.5,103
"_vZ7bHaGCjllogiZ7RH17w",3,155
"LpyndkMvevIQA-JHoReHNw",3.5,109
"KaGZE0_o1EmmSN4Fo_cpUw",3,198
"8Y5p2IQMLX6QjGPzxanexg",3.5,342
"5P7zzVhWvO8nXGPdy7xqhw",4.5,157
"KR2kRmHnRCaNzOUEGoB25w",3.5,219
"d5n5CsoJNu-tKEbfI6U3tA",3,111
"FYa3GUro-ezTM9zvKiocFw",4.5,434
"3dG6AB7o5QMVQzga0zotiA",3,113
"MmU8ak-uG-s1RbqXu13m0Q",2.5,143
"cpkBJhBujpBFZ0rOItE-4g",4,131
"pEH8XwiyGOe1t7GlboAgGw",4,105
"tstimHoMcYbkSC4eBA1wEg",4.5,120
"eqg6UyuVLwzAplUvN9UkSw",3.5,130
"LPCFfrQow0kl7EABuM7VDA",4,113
"1uPQTz5XZSWr0ti7kUpaDw",4,304
"bGoGHSWHvhftHMWWxQXYbw",3.5,122
"f9sU31meK0bqAD7922sCog",4,917
"Do4n_yK_K6DmR9_Es5qwlA",3.5,148
"xkVMIk_Vqh17f48ZQ_6b0w",4,1915
"z2Yivr-C0K0H2sLNXvnZyg",4.5,168
"uwDyxK92ae5kNjeZE8uCgA",3.5,123
"XlUuMGMvkzy_QLAUTEe-fw",3.5,120
"d4qwVw4PcN-_2mK2o1Ro1g",3.5,841
"M70Jr9yUWCDfoTsZS3uq7A",4.5,129
"4k3RlMAMd46DZ_JyZU0lMg",4,1008
"Po0QGzgwFrfnGJEi_akCjA",3,260
"EtZacHzJ2gw0V9Sdm2rLQA",4.5,113
"iE71iwcSljg3xm2GB2Y9aA",4.5,288
"gDjHnPJDx9ZVse0i9mp5hQ",4,166
"H9a6IRS0edhW343Y2kXSSA",3.5,313
"YCEZLECK9IToE8Mysorbhw",3.5,143
"dw2ST-AHUbu2xq0QNfngBA",3.5,239
"cXdQ3H0GqcIzRgrvBEaBxw",4,185
"aWYWNfHuQJyRwDHaHq8X1w",3.5,242
"h3pMMRwqBjMeMtk0_qQzRQ",3.5,332
"-zEpEmDfFQL-ph0N3BDlXA",4.5,242
"5p5YW_5bMOSuLIQjkJPO3w",4,135
"mlCDsdVFuZvRGrJTfQ6amw",4,419
"6xgcHeLad-VaoTIQewK84A",4,800
"zNGYsFeG_7XEBodbtfux5Q",4,208
"2Yq-Y-tDroP7mdDfcWJLCQ",4.5,312
"_nB8HNT2IDRhlAoY9TPYew",3.5,112
"VzUo-RURV3VnfNItAYM8yg",4,181
"Bb-Y-gKgZJak83zfzQoj1g",4,133
"u-SvRRAfYgpbXZRfQgcTzA",4,202
"SHFlELFcEcAOJv_fTAKChQ",4,452
"H_eO04NZAQIDcbtFQ4BUag",4.5,158
"CdpBVSkL2Pljj-yP0ihb_w",4,150
"d482l58ho0_IMdFkXX1F5Q",3.5,317
"-1VaIJza42Hjev6ukacCNg",4,142
"C-Qkudv7u8465nLasGR31A",3.5,124
"uuGlYAIvYAX1q1KhpY6dtA",4,481
"jmyvOW6G2T1fIePvajB4nQ",4,261
"VYNriOotbFZ7Qj_6jwUB5g",4,129
"uejutOD4_-IUaY5cKkpezg",4.5,164
"Ta4GRuHyZvU5H_l5IAG1PQ",3.5,128
"1JF9TbJ2d5hH8xsQvvklHg",4.5,143
"kHpXJ2vciumu2KhNHg0hYA",3.5,228
"raVyoZbWWuN7JcFUdT7k2g",4,179
"v9u0NgjA4iQeKGevFnYSCA",3.5,385
"3U__XOTBFptjhBeHrPGqrg",4.5,111
"JK_DiDwbl7HX5OhCAh3h4g",3,137
"UE3AvVnaPEBPneVahYT2eA",4,698
"4qQVf2lt-47VcQ4v54PEXQ",4.5,200
"aqwn3jdQLCWnb59gHK4nAw",4,338
"XdOxflXrlWRdL9IWzXC54Q",3.5,146
"nc7YTLSXEWPG4Q0WlI5iPQ",3.5,103
"AueEbb9kao4lt6CYt06hqw",4,176
"WOd8tWsh2Yt_osHv-ngx_w",4,251
"jnroKk9qi0FR2bFSkxYZNg",4,150
"s8OLoPfOpB0FbK5frI3CkQ",3,346
"6z3cgIE9dJ01wUm43f0yBQ",3.5,188
"DyVteo8Blf5gEfC9QbJE9A",3,127
"pDoDY-cDLyeKQgDx5RAlnQ",3.5,130
"8xCiibfgqy-8xpCWEaguqg",4,151
"0d6kx6Jlocw77y1J9nbqMA",3.5,186
"o05HPzyrpcguxH9AL1Knvw",4,159
"S8VRQCBrbZI04zjCOc1RAA",4.5,146
"9Wc9cypUeTtjkoPLkPsF-g",3,109
"uWECX6-Uq9n8v5ipk9R29A",4,811
"-MKWJZnMjSit406AUKf7Pg",4,172
"ZK-R-CcMrjuQKl9G910OWQ",3.5,127
"YnmtUJGqQIQL9tz1MRyfqA",4,501
"5iSlHNIy3RLbCP5AayB31g",3.5,121
"s0vNtuLs1cwEqHTXKiS05w",4,370
"Qeie5-8-S_hLPk7_ujpajw",3.5,169
"pUmECN5N94AQAe0DtptuYA",3.5,100
