"business_id","name","city","state","postal_code","yelp_avg_rating","review_count"
"Mi5uhdFB9OJteXPd0_IKfw","Carrabba's Italian Grill","Glendale","AZ","85308",3.5,119
"YPavuOh2XsnRbLfl0DH2lQ","Lo-Lo's Chicken & Waffles","Phoenix","AZ","85003",4,1276
"93otbGHE0s0m-lU1osvg9w","Rivertowne","Pittsburgh","PA","15212",3,102
"L_thK7r3K_h5M4tV7amEKQ","Honey B Hives Restaurant","Toronto","ON","M1V 4C3",3.5,118
"LIvXzdMJrIb6IY5Y3tqicA","Nan and Byron's","Charlotte","NC","28203",3.5,291
"J3H6VSIgUTlACkb_HPFA8w","Broken Yolk Cafe","Mesa","AZ","85204",3.5,137
"Ja4stXdNYr39u5CZHMNtjw","Cien Agaves Tacos & Tequila","Scottsdale","AZ","85251",3.5,480
"V94gk_Vx0Ot623UGHG6PrA","The Salted Lime","North Las Vegas","NV","89084",3,105
"2px99IppAcnxR238eq_8_w","Big Buddha","Surprise","AZ","85388",4,273
"jDqaz1jKdeWk_fTVCzc1Pg","Conflict Kitchen","Pittsburgh","PA","15213",4.5,145
"mvsnt4q3A5TzcbPFolpsZQ","Tesoro Ristorante Italiano","Scottsdale","AZ","85259",4.5,117
"gMUAn6xcuE-TbY1seFw_Ww","Presto Calzone Bakery","Las Vegas","NV","89131",4.5,132
"S6HTXcS97j173_btjN8w7Q","Famous Dave's","Peoria","AZ","85382",3.5,177
"ndXuzuD4BpNIrm1I0nTsww","Distrito","Scottsdale","AZ","85251",3.5,301
"u7CxxEzx8hvjoJ8onN4zTg","Pittsburgh International Airport","Pittsburgh","PA","15231",3.5,364
"tGBeFfwXCUZOsb0YWiMWIA","Ka Chi","Toronto","ON","M5T 2G4",3.5,101
"LZxSxY98S7l4a7tJiTGufg","Cracker Barrel Old Country Store","Goodyear","AZ","85395",3.5,114
"Rud4J5Hsjn_jjU9IaQ0Dpw","The Melting Pot","Glendale","AZ","85308",4,164
"kJl3l4fSa2spv_Mkhgogmg","Ito'y Sariling Atin","Las Vegas","NV","89109",3.5,103
"_vZ7bHaGCjllogiZ7RH17w","Origin North","Toronto","ON","M2N 5Z7",3,155
"LpyndkMvevIQA-JHoReHNw","Jaipur Indian Restaurant","Charlotte","NC","28217",3.5,109
"KaGZE0_o1EmmSN4Fo_cpUw","Public House","Las Vegas","NV","89119",3,198
"8Y5p2IQMLX6QjGPzxanexg","Ohya Sushi, Korean Kitchen & Bar","Glendale","AZ","85306",3.5,342
"5P7zzVhWvO8nXGPdy7xqhw","LaMar's Donuts & Coffee","Phoenix","AZ","85023",4.5,157
"KR2kRmHnRCaNzOUEGoB25w","B Spot","Westlake","OH","44145",3.5,219
"d5n5CsoJNu-tKEbfI6U3tA","Olive Garden Italian Restaurant","Peoria","AZ","85382",3,111
"FYa3GUro-ezTM9zvKiocFw","Greek Wraps","Peoria","AZ","85382",4.5,434
"3dG6AB7o5QMVQzga0zotiA","Irish Embassy Pub & Grill","Toronto","ON","M5E 1J1",3,113
